id,termino,titular,fecha,duracion,enlace
5ca4682b7ed1a84b929020ec,futbol femenino,"Ellas Juegan: 02x28 Vicky Losada: ""Tenemos la responsabilidad de hacer un buen papel en el Mundial""",2019-04-03,0:42:15.168000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x28-vicky-losada-tenemos-la-responsabilidad-de-hacer-un-buen-papel-en-el-mundial_201904035ca46dfd0cf21eabee65aa8a.html
5d0de7827ed1a8f244d3a1b5,futbol femenino,"Celia Jiménez: ""En España se está apostando muy fuerte por el fútbol femenino""",2019-06-22,0:04:40,https://www.ondacero.es/programas/por-fin-no-es-lunes/podcast/entrevistas/celia-jimenez-en-espana-se-esta-apostando-muy-fuerte-por-el-futbol-femenino_201906225d0dec730cf2a19e09fc377d.html
5d138ad47ed1a86c133a3c09,futbol femenino,Onda Deportiva Madrid 26/06/2019,2019-06-26,0:12:11,https://www.ondacero.es/emisoras/comunidad-madrid/madrid/audios-podcast/onda-deportiva-madrid/onda-deportiva-madrid-26062019_201906265d138b700cf2b86c2b62996a.html
5d0907147ed1a83130eae194,futbol femenino,"Ellas Juegan 02X38: ""¡A octavos!""",2019-06-18,0:34:05.736000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x38-a-octavos_201906185d0907640cf2f012aeb5297d.html
5d13f6b57ed1a86c12a5ec28,futbol femenino,"Vero Boquete: ¿Fichar por el Real Madrid? Mi teléfono está encendido pero de momento nadie me ha llamado""",2019-06-26,0:07:06,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/vero-boquete_201906275d13f7fd0cf2c58953be7b29.html
5d1226857ed1a86c12a5e8b8,futbol femenino,Ellas Juegan 02×39: #JugarLucharyGanar,2019-06-25,0:34:03.384000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02×39-jugarlucharyganar_201906255d1227170cf2ee729a3e0b85.html
5cdedbbe7ed1a8ea5f7012b1,futbol femenino,"Territorio Comanche: Doris Day, Eurovisión, musicales, fútbol y rock",2019-05-17,0:43:12.768000,https://www.ondacero.es/programas/julia-en-la-onda/audios-podcast/territorios/comanche/territorio-comanche-doris-day-eurovision-musicales-futbol-y-rock_201905175cdee5960cf235bc412cb116.html
5cd97ce37ed1a88be168d10d,futbol femenino,"El Granada gana al Tenerife, está más cerca del ascenso, pero debe eliminar al Albacete. Onda Deportiva Granada 13/05/2019",2019-05-13,1:00:00,https://www.ondacero.es/emisoras/andalucia/granada/audios-podcast/el-granada-gana-al-tenerife-esta-mas-cerca-del-ascenso-pero-debe-eliminar-al-albacete-onda-deportiva-granada-13052019_201905135cd97d540cf26b6ffc6ed1a3.html
5ce3d9db7ed1a86d0c2d9f94,futbol femenino,Ellas Juegan 02x35: De la Champions al Mundial,2019-05-21,0:57:21.168000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x35-de-la-champions-al-mundial_201905215ce3daf40cf272f8177845b8.html
5cd587717ed1a88be036707e,futbol femenino,El Granada CF se juega el ascenso esta noche ante el CD Tenerife. Onda Deportiva Granada 10/05/2019,2019-05-10,1:00:00,https://www.ondacero.es/emisoras/andalucia/granada/audios-podcast/el-granada-cf-se-juega-el-ascenso-esta-noche-ante-el-cd-tenerife-onda-deportiva-granada-10052019_201905105cd587e00cf2535c40d3fb4c.html
5cbf30bb7ed1a8b0f88516da,futbol femenino,Alcalá de Henares en la onda 16/04/2019,2019-04-16,1:29:59.040000,https://www.ondacero.es/emisoras/comunidad-madrid/alcala-de-henares/audios-podcast/alcala-de-henares-en-la-onda-16042019_201904235cbf31a80cf2f6972b4a70a1.html
5cf679247ed1a8e8c6258ec6,futbol femenino,Ellas Juegan 02×36: Cuenta atrás para el debut en el Mundial,2019-06-04,0:32:29.664000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/cuenta-atras-para-el-debut-en-el-mundial_201906045cf679c40cf2c86df26af639.html
5cfe0d437ed1a8c519d4e21b,futbol femenino,Ellas Juegan 02×37: Histórica primera victoria en un Mundial,2019-06-10,0:31:50.016000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-0237-historica-primera-victoria-en-un-mundial_201906105cfe0da30cf2aa92dbf81449.html
5ceed4ac7ed1a86515fa8c90,futbol femenino,"Nahikari: ""Hay mucha ambición e ilusión, pero el objetivo es ir paso a paso""",2019-05-29,0:03:37,https://www.ondacero.es/programas/la-brujula/audios-podcast/deportes/nahikari-hay-mucha-ambicion-e-ilusion-pero-el-objetivo-es-ir-paso-a-paso_201905295ceed4fc0cf2dfa578383ca2.html
5d48b2017ed1a81e8f1a2f39,futbol femenino,"Antonio Esteva: ""El deporte y la radio son ritmo y Radioestadio va a tener mucho ritmo""",2019-08-05,0:41:11,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/antonio-esteva-el-deporte-y-la-radio-son-ritmo-y-radioestadio-va-a-tener-mucho-ritmo_201908065d48b27c0cf2a80ac9c9b2aa.html
5d5e87077ed1a8290350fc28,futbol femenino,Futboleras: “Nacemos como portal de información de fútbol femenino pero con la intención de crear una gran comunidad”,2019-08-22,0:21:18,https://www.ondacero.es/emisoras/navarra/pamplona/audios-podcast/futboleras-nacemos-como-portal-de-informacion-de-futbol-femenino-pero-con-la-intencion-de-crear-una-gran-comunidad_201908225d5e87700cf2de5c30d193a0.html
5f77b3a57ed1a8dc839a0241,futbol femenino,"Ana Romero: ""El protocolo dice que con un positivo, el equipo ya no  puede jugar""",2020-10-02,0:12:23,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/ana-romero-el-protocolo-dice-que-con-un-positivo-el-equipo-ya-no-puede-jugar_202010035f77b47b179587000174eb65.html
5cac7fd37ed1a8ad565ec36e,futbol femenino,Ellas Juegan 02×29: Derbi Betis-Sevilla en el Villamarín,2019-04-09,0:36:29.904000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-0229-derbi-betis-sevilla-en-el-villamarin_201904095cac80a80cf2957868adb79e.html
5cba59137ed1a857466ad09c,futbol femenino,"Ivana Andrés, sobre el derbi valenciano: ""El año pasado superamos los 17.000 asistentes y creo que lo podemos superar""",2019-04-19,0:11:29,https://www.ondacero.es/programas/transistor/audios-podcast/entrevistas/ivana-andres-sobre-el-derbi-valenciano-el-ano-pasado-superamos-los-17000-asistentes-y-creo-que-lo-podemos-superar_201904205cba596f0cf2e13669545d35.html
5cc865aa7ed1a872a86ec18b,futbol femenino,Ellas Juegan 02x32: Histórico Barça,2019-04-30,0:47:22.632000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/ellas-juegan-02x32-historico-barca_201904305cc8677f0cf2ff856cf3f7e4.html
5f97ff477ed1a820fc8024c6,futbol femenino,"Ellas Juegan 04x08: La Selección, a un paso de la Euro 2022",2020-10-27,0:58:36.600000,https://www.ondacero.es/solo-ondaceroes/ellas-juegan-en-la-onda/podcast/04x08-seleccion-paso-euro-2022_202010275f97ffbeb471220001cfea57.html
